Date,Open,High,Low,Close,Volume,Adj Close
2016-04-11,28.26,29.49,28.26,29.06,7180400,28.3208
2016-04-08,27.85,27.94,27.12,27.68,4719100,26.9759
2016-04-07,28.26,28.61,27.85,28.18,5383500,27.4632
2016-04-06,28.14,28.49,27.81,28.26,4361600,27.5412
2016-04-05,27.34,28.29,27.13,28.14,4577300,27.4242
2016-04-04,27.29,27.29,27.29,27.29,000,26.5959
2016-04-01,27.45,27.59,26.62,27.29,3537400,26.5959
2016-03-31,27.20,27.90,27.00,27.62,5324100,26.9175
2016-03-30,26.19,26.87,26.03,26.85,3729600,26.167
2016-03-29,26.90,27.00,25.50,25.85,3351800,25.1925
2016-03-28,27.25,27.84,26.71,26.84,3406500,26.1573
2016-03-25,26.75,27.40,26.74,27.15,2719800,26.4594
2016-03-24,27.49,27.98,26.99,27.01,4758600,26.323
2016-03-23,27.06,28.10,26.92,27.98,4921300,27.2683
2016-03-22,27.52,27.52,27.01,27.10,3422400,26.4107
2016-03-21,27.46,27.63,27.00,27.53,4532000,26.8297
2016-03-18,26.01,27.39,25.98,27.01,5138000,26.323
2016-03-17,25.30,26.01,25.06,25.99,4233900,25.3289
2016-03-16,25.72,26.13,25.00,25.09,1844300,24.4518
2016-03-15,26.10,26.35,25.51,25.71,2746900,25.056
2016-03-14,24.50,26.51,24.50,26.28,4424800,25.6115
2016-03-11,24.09,24.73,23.78,24.33,1729400,23.7111
2016-03-10,25.01,25.30,24.36,24.46,1741900,23.8378
2016-03-09,24.97,25.30,24.70,25.01,1481200,24.3738
2016-03-08,24.73,25.54,24.13,25.49,2640400,24.8416
2016-03-07,24.90,25.33,24.61,24.88,1809500,24.2472
2016-03-04,25.88,25.89,24.02,24.47,2740700,23.8476
2016-03-03,26.05,26.54,25.66,25.74,3274500,25.0853
2016-03-02,24.69,26.35,24.56,26.02,2980100,25.3582
2016-03-01,24.51,24.94,23.40,24.67,2724500,24.0425
2016-02-29,26.19,26.29,23.88,24.37,3034500,23.7501
2016-02-26,25.75,26.55,25.26,26.19,2699800,25.5238
2016-02-25,27.80,28.56,25.48,25.67,4417900,25.0171
2016-02-24,27.97,28.40,27.31,28.13,2608000,27.4145
2016-02-23,28.45,28.96,27.60,28.07,3464300,27.356
2016-02-22,27.30,28.66,26.81,28.55,4516300,27.8238
2016-02-19,26.46,26.98,26.22,26.77,2866800,26.0891
2016-02-18,27.10,27.25,26.23,26.46,3593200,25.787
2016-02-17,26.15,26.84,25.91,26.71,4135700,26.0306
2016-02-16,25.06,26.13,25.06,25.98,2748100,25.3192
2016-02-15,24.21,25.10,24.05,24.88,1391200,24.2472
2016-02-12,25.29,25.29,25.29,25.29,000,24.6467
2016-02-11,25.29,25.29,25.29,25.29,000,24.6467
2016-02-10,25.29,25.29,25.29,25.29,000,24.6467
2016-02-09,25.29,25.29,25.29,25.29,000,24.6467
2016-02-08,25.29,25.29,25.29,25.29,000,24.6467
2016-02-05,25.57,25.84,25.28,25.29,2060300,24.6467
2016-02-04,25.00,25.69,25.00,25.56,2631400,24.9099
2016-02-03,25.00,25.13,24.36,24.98,1756700,24.3446
2016-02-02,24.41,25.47,24.41,25.13,2584000,24.4908
2016-02-01,24.18,24.49,23.90,24.37,1928400,23.7501
2016-01-29,23.20,24.55,23.20,24.15,2871300,23.5357
2016-01-28,23.93,24.56,23.08,23.24,2415000,22.6489
2016-01-27,24.57,24.99,23.10,24.64,3003700,24.0133
2016-01-26,26.21,26.50,24.24,24.57,3133100,23.945
2016-01-25,26.13,27.06,26.13,26.74,3467100,26.0598
2016-01-22,25.56,26.14,25.00,25.90,2724800,25.2412
2016-01-21,26.06,26.72,25.57,25.61,2876200,24.9586
2016-01-20,26.36,27.10,26.22,26.41,3343900,25.7382
2016-01-19,25.75,26.77,25.59,26.67,3632300,25.9916
2016-01-18,24.75,26.18,24.62,25.62,4249000,24.9683
2016-01-15,26.37,26.68,25.20,25.30,2647500,24.6565
2016-01-14,25.01,26.80,24.88,26.61,2981900,25.9331
2016-01-13,26.88,27.16,25.58,25.59,2314500,24.9391
2016-01-12,26.15,27.29,25.90,26.74,2956400,26.0598
2016-01-11,28.30,29.22,26.38,26.40,3051400,25.7285
2016-01-08,29.99,30.23,26.40,29.31,3397600,28.5645
2016-01-07,31.32,31.43,28.62,28.62,1130100,27.892
2016-01-06,30.95,31.97,30.95,31.80,2953400,30.9911
2016-01-05,30.38,32.62,29.50,30.79,4758800,30.0068
2016-01-04,35.69,35.88,32.12,32.21,4062100,31.3907
2016-01-01,35.69,35.69,35.69,35.69,000,34.7822
2015-12-31,36.50,36.57,35.61,35.69,2061700,34.7822
2015-12-30,36.33,36.60,36.25,36.47,2397600,35.5423
2015-12-29,35.68,36.45,35.08,36.36,2623700,35.4351
2015-12-28,36.70,36.95,35.58,35.66,3909200,34.753
2015-12-25,36.99,37.05,36.60,36.79,2329100,35.8542
2015-12-24,36.10,36.96,36.08,36.83,2781400,35.8932
2015-12-23,37.37,37.37,36.02,36.31,5830400,35.3864
2015-12-22,37.25,37.54,36.83,37.41,3460000,36.4584
2015-12-21,37.45,37.79,36.81,37.28,3967400,36.3317
2015-12-18,38.88,38.88,37.32,37.70,6195000,36.7411
2015-12-17,37.39,38.47,37.39,38.45,5646900,37.472
2015-12-16,37.10,37.96,37.10,37.34,4070100,36.3902
2015-12-15,36.85,37.76,36.78,36.97,4110100,36.0296
2015-12-14,35.67,36.99,35.57,36.75,3788900,35.8152
2015-12-11,36.78,37.07,35.61,35.95,4826200,35.0356
2015-12-10,37.15,38.00,36.50,36.95,5936200,36.0101
2015-12-09,37.94,38.33,36.70,37.06,6894500,36.1173
2015-12-08,40.51,40.51,38.30,38.70,8500400,37.7156
2015-12-07,41.70,42.38,40.38,40.95,7034600,39.9084
2015-12-04,41.00,42.79,40.07,41.98,10555300,40.9122
2015-12-03,38.81,41.95,38.60,41.51,12085700,40.4541
2015-12-02,39.30,39.88,36.14,39.40,9443900,38.3978
2015-12-01,39.70,40.90,38.88,40.16,20104900,39.1385
2015-11-30,34.96,38.37,34.96,38.37,17758000,37.394
2015-11-27,38.40,38.41,34.88,34.88,10163100,33.9928
2015-11-26,40.20,40.28,38.50,38.75,8073900,37.7644
2015-11-25,40.05,40.89,39.68,39.80,8371200,38.7876
2015-11-24,38.01,40.30,37.50,40.22,8545900,39.197
2015-11-23,41.00,41.99,38.80,38.97,11548300,37.9788
2015-11-20,37.68,41.55,37.68,40.94,14215800,39.8986
2015-11-19,36.40,38.09,36.37,37.79,6980300,36.8288
2015-11-18,37.12,38.66,36.32,36.74,8245800,35.8055
2015-11-17,37.81,39.91,36.99,37.69,11367000,36.7313
2015-11-16,35.00,37.61,34.65,37.24,8733600,36.2928
2015-11-13,37.98,39.98,35.50,36.56,19579500,35.6301
2015-11-12,34.90,38.20,34.90,38.20,17749700,37.2283
2015-11-11,32.22,35.33,31.92,34.73,13917200,33.8466
2015-11-10,32.58,33.49,31.76,32.40,9453000,31.5759
2015-11-09,31.69,33.19,31.17,32.91,13039700,32.0729
2015-11-06,30.00,33.00,30.00,32.22,11575000,31.4005
2015-11-05,30.66,31.11,29.82,30.03,9739900,29.2662
2015-11-04,30.10,30.99,29.30,30.90,11131100,30.114
2015-11-03,27.89,29.98,27.50,29.71,10833000,28.9543
2015-11-02,27.05,28.98,26.74,27.97,4763800,27.2586
2015-10-30,28.30,28.32,27.02,27.87,3528700,27.1611
2015-10-29,28.29,28.88,27.82,28.53,5464400,27.8043
2015-10-28,28.19,28.64,27.70,27.89,4920000,27.1806
2015-10-27,27.83,28.29,26.62,28.17,4927200,27.4535
2015-10-26,28.64,28.66,27.85,28.11,4772800,27.395
2015-10-23,27.53,28.33,27.26,28.15,5390100,27.434
2015-10-22,26.68,27.68,26.33,27.54,5001400,26.8395
2015-10-21,29.69,29.69,26.72,26.72,9708300,26.0403
2015-10-20,28.99,30.10,28.67,29.69,7450800,28.9348
2015-10-19,29.98,29.98,28.56,28.89,7573700,28.1552
2015-10-16,29.25,30.56,28.70,30.02,10248200,29.2564
2015-10-15,28.02,29.35,28.01,29.30,7341200,28.5547
2015-10-14,28.89,28.95,28.23,28.37,9999500,27.6484
2015-10-13,30.00,30.00,29.13,29.69,6227100,28.9348
2015-10-12,29.9933,31.8667,29.30,31.34,12496800,19.7122
2015-10-09,30.00,30.00,28.4067,29.28,12022600,18.4165
2015-10-08,28.9733,28.9733,28.9733,28.9733,2644300,18.2236
2015-10-07,26.34,26.34,26.34,26.34,000,16.5673
2015-10-06,26.34,26.34,26.34,26.34,000,16.5673
2015-10-05,26.34,26.34,26.34,26.34,000,16.5673
2015-10-02,26.34,26.34,26.34,26.34,000,16.5673
2015-10-01,39.51,39.51,39.51,39.51,000,24.8509
2015-09-30,37.07,39.51,36.80,39.51,7783500,24.8509
2015-09-29,35.78,36.2599,35.5001,35.92,2888600,22.5929
2015-09-28,35.5999,36.79,35.22,36.7399,3284700,23.1086
2015-09-25,37.4899,37.74,35.10,35.5001,4960800,22.3288
2015-09-24,36.3701,37.9999,36.3701,37.96,5936400,23.876
2015-09-23,35.80,36.78,35.6299,36.18,4065800,22.7564
2015-09-22,36.06,36.9799,35.91,36.4901,5495300,22.9514
2015-09-21,33.80,36.00,33.43,35.9801,4767300,22.6307
2015-09-18,33.4999,34.30,33.20,34.20,3297200,21.5111
2015-09-17,33.5899,34.8701,33.1301,33.20,4742200,20.882
2015-09-16,31.0099,33.66,31.0099,33.66,4271000,21.1714
2015-09-15,32.70,33.45,30.48,30.60,4310300,19.2467
2015-09-14,37.60,37.8799,33.81,33.81,4401500,21.2658
2015-09-11,37.3901,37.59,36.75,37.57,3160000,23.6307
2015-09-10,37.0001,37.86,36.71,36.78,4147900,23.1338
2015-09-09,37.0001,38.20,36.29,37.92,6474800,23.8509
2015-09-08,34.05,36.48,33.81,36.41,4859900,22.9011
2015-09-07,34.08,35.19,33.68,34.26,3442300,21.5488
2015-09-04,33.18,33.18,33.18,33.18,000,20.8695
2015-09-03,33.18,33.18,33.18,33.18,000,20.8695
2015-09-02,32.8699,36.10,32.32,33.18,4017200,20.8695
2015-09-01,37.0001,37.0099,34.50,34.59,4400900,21.7564
2015-08-31,39.12,39.60,37.0001,37.09,4842100,23.3288
2015-08-28,38.44,40.4899,37.6099,40.43,6875600,25.4296
2015-08-27,37.2401,37.96,35.5099,37.71,6773700,23.7188
2015-08-26,35.45,38.18,34.0001,36.1601,10003400,22.7439
2015-08-25,34.9001,37.57,34.71,34.71,5825700,21.8318
2015-08-24,40.77,40.9999,38.57,38.57,4706900,24.2597
2015-08-21,45.30,45.8899,42.80,42.85,5340400,26.9518
2015-08-20,48.30,48.7001,46.16,46.3601,4594500,29.1595
2015-08-19,46.9999,49.9001,44.3801,49.14,6758500,30.908
2015-08-18,54.00,55.49,48.8599,48.8599,6807600,30.7318
2015-08-17,55.95,56.00,53.8601,54.2899,5759900,34.1472
2015-08-14,57.00,57.55,55.6099,56.37,6947900,35.4555
2015-08-13,56.4101,57.33,54.31,56.8901,6964000,35.7826
2015-08-12,59.6801,59.6801,56.25,56.31,12672700,35.4178
2015-08-11,58.00,61.25,57.73,59.99,13986200,37.7324
2015-08-10,56.2999,59.1101,55.6099,58.35,12164900,36.7009
2015-08-07,53.80,55.49,53.80,55.3901,7379400,34.8391
2015-08-06,54.95,55.60,52.8799,53.72,8627600,33.7887
2015-08-05,55.08,57.98,54.63,56.45,13499000,35.5058
2015-08-04,52.1501,55.98,51.98,55.89,10053800,35.1536
2015-08-03,54.55,56.70,51.0499,52.7899,9207300,33.2037
2015-07-31,53.50,58.00,53.2999,55.3901,10609600,34.8391
2015-07-30,56.35,58.3901,54.5899,54.76,12822800,34.4429
2015-07-29,52.9001,56.56,49.5499,56.35,11481500,35.443
2015-07-28,48.90,53.51,48.00,52.3601,12144400,32.9333
2015-07-27,53.48,58.9001,50.0299,50.6501,15396800,31.8578
2015-07-24,58.20,59.4701,54.50,54.8899,18421500,34.5246
2015-07-23,51.10,56.66,51.10,56.66,16912100,35.6379
2015-07-22,52.40,52.5799,50.51,51.51,8882600,32.3987
2015-07-21,49.00,52.9601,48.3199,52.57,11421700,33.0654
2015-07-20,52.00,52.50,49.53,50.90,12262300,32.015
2015-07-17,47.80,51.99,47.7701,51.4001,11090500,32.3295
2015-07-16,42.4999,49.5799,42.00,47.7499,10700100,30.0337
2015-07-15,50.58,50.58,45.99,46.0001,19454000,28.933
2015-07-14,45.9799,45.9799,45.9799,45.9799,140000,28.9204
2015-07-13,41.80,41.80,41.80,41.80,94600,26.2913
2015-07-10,37.9999,37.9999,37.9999,37.9999,000,23.9011
2015-07-09,37.9999,37.9999,37.9999,37.9999,000,23.9011
2015-07-08,37.9999,37.9999,37.9999,37.9999,000,23.9011
2015-07-07,40.28,41.79,37.9999,37.9999,6399400,23.9011
2015-07-06,44.04,44.04,39.20,42.22,10535700,26.5555
2015-07-03,41.9801,44.64,39.27,40.04,8160300,25.1843
2015-07-02,47.40,47.9801,43.0001,43.46,8550700,27.3354
2015-07-01,48.45,52.47,46.70,46.79,11348400,29.4299
2015-06-30,44.95,50.25,41.52,49.16,10400700,30.9205
2015-06-29,52.9001,52.9001,46.1299,46.1299,8214200,29.0147
2015-06-26,55.00,55.20,51.26,51.26,7034000,32.2414
2015-06-25,61.02,61.20,56.25,56.9501,7382100,35.8203
2015-06-24,63.3799,64.48,60.60,61.3901,8963300,38.613
2015-06-23,60.81,62.94,58.60,62.4401,7503300,39.2734
2015-06-22,59.1101,59.1101,59.1101,59.1101,000,37.1789
2015-06-19,60.01,65.64,57.8599,59.1101,8796400,37.1789
2015-06-18,68.00,68.48,62.4701,62.4701,9116000,39.2923
2015-06-17,65.5999,69.93,64.78,69.41,8904300,43.6574
2015-06-16,66.30,67.99,63.00,64.50,11454100,40.5691
2015-06-15,72.00,73.00,69.60,69.60,13425600,43.7769
2015-06-12,89.70,91.3901,77.00,77.3299,25029500,48.6389
2015-06-11,75.60,83.08,73.52,83.08,12728600,52.2555
2015-06-10,69.36,75.99,69.15,75.5299,14814300,47.5067
2015-06-09,68.40,75.00,68.40,70.9601,18555900,44.6323
2015-06-08,75.39,77.00,75.21,75.21,10866900,47.3055
2015-06-05,83.73,87.7999,83.5699,83.5699,10878100,52.5637
2015-06-04,111.00,111.00,92.85,92.85,20025600,58.4006
2015-06-03,100.17,103.17,95.00,103.17,17395600,64.8917
2015-06-02,93.79,93.79,93.79,93.79,217800,58.9919
2015-06-01,85.26,85.26,85.26,85.26,153700,53.6267
2015-05-29,77.51,77.51,77.51,77.51,603700,48.7521
2015-05-28,70.46,70.46,70.46,70.46,234100,44.3178
2015-05-27,64.05,64.05,64.05,64.05,36700,40.2861
2015-05-26,58.23,58.23,58.23,58.23,30200,36.6254
2015-05-25,52.94,52.94,52.94,52.94,48300,33.2981
2015-05-22,48.1301,48.1301,48.1301,48.1301,22500,30.2728
2015-05-21,43.7501,43.7501,43.7501,43.7501,16200,27.5178
2015-05-20,39.7699,39.7699,39.7699,39.7699,16500,25.0144
2015-05-19,36.15,36.15,36.15,36.15,11700,22.7376
2015-05-18,32.8601,32.8601,32.8601,32.8601,16300,20.6683
2015-05-15,24.8899,29.8699,24.8899,29.8699,19100,18.7875
